item_name,description,station_name,receiving_date,category_name,latitude,longitude
CHAIN,METAL CHAIN,VAISHALI,21/03/2024,Personal Accessories,25.74917025,85.3972164
EARBUDS CASE,BLACK EARBUDS,BRIG. HOSHIAR SINGH,20/03/2024,Electronics,28.6974603,76.9192027
CARRY BAG,OLD LADIES CLOTHES,RITHALA,20/03/2024,Bags,28.7208064,77.1071813
BAG,"UTENSILS , PEN , HANGER & LUNCH BOX",KAROL BAGH,20/03/2024,Bags,28.6529982,77.1890227
JACKET,GREY JACKET,YASHOBHOOMI DWARKA SECTOR  - 25,20/03/2024,Clothing,28.5508323,77.0453073
BAG,"WITH DENIM PANT & JACKET ,TIFFIN ,TOWEL ,LOWER & T SHIRT",YASHOBHOOMI DWARKA SECTOR  - 25,20/03/2024,Bags,28.5508323,77.0453073
JUTE BAG,WITH LUNCH BOX,SAMAYPUR BADLI,20/03/2024,Bags,28.7446411,77.1382701
BROWN PURSE,"BANK CARDS , AADHAR CARD , PAN CARD OF MR. NARESH PASWAN",KASHMERE GATE,20/03/2024,Personal Accessories,28.6668141,77.22905486
JUTE BAG,"WITH BOTTLE ,GLASS BOXES",IFFCO CHOWK,20/03/2024,Bags,28.4723277,77.0724222
WATCH,LADY WATCH,DELHI CANTT.,20/03/2024,Personal Accessories,28.6117094,77.1156635
EARBUDS,BLACK EARBUDS,BOTANICAL GARDEN,20/03/2024,Electronics,55.84484725,37.63824367
PURSE,WITH DL BANK CARDS OF SANJAY YADAV,BOTANICAL GARDEN,20/03/2024,Personal Accessories,55.84484725,37.63824367
BAG,WITH CLOTHS ORNAMENTS  HAIR DRYER,RAJIV CHOWK,20/03/2024,Bags,28.6327786,77.2196985
WALLET,AADHAR CARD & CASH OF MS. MAHIMA JAIN,NEW DELHI (Yellow & Airport Line),19/03/2024,Personal Accessories,28.6436415,77.2217373
CARRY BAG,"BLANKET , SWEATER & MEDICAL DOCUMENTS OF MR. SATYENDER",SAMAYPUR BADLI,19/03/2024,Bags,28.7446411,77.1382701
LUNCH BAG,LUNCH BOX & SPOON,SAMAYPUR BADLI,19/03/2024,Bags,28.7446411,77.1382701
PASSPORT,OF RUSSIAN LADY TATYANA BAKULINA,MANDI HOUSE,19/03/2024,Documents,28.6255149,77.2341926
EARBUDS,BLACK EARBUDS,JHILMIL,19/03/2024,Electronics,28.6757197,77.3123949
RACK,DVR & NETWORKING RACK,JHILMIL,19/03/2024,Miscellaneous,28.6757197,77.3123949
HELMET,BLACK HELMET,KASHMERE GATE,19/03/2024,Household Items,28.6668141,77.22905486
PURSE,"WITH METRO CARD ,CASH,PHOTO",MOOLCHAND,19/03/2024,Personal Accessories,30.31840995,78.0689451
WATCH,LADIES WATCH,CHIRAG DELHI,19/03/2024,Personal Accessories,28.5381411,77.2280694
GREY BAG,"WITH CLOTHS ,SLIPPERS,EARRINGS",YASHOBHOOMI DWARKA SECTOR  - 25,19/03/2024,Bags,28.5508323,77.0453073
POLY BAG,WITH LADIES  INNER WEAR,RAMAKRISHNA ASHRAM MARG,19/03/2024,Bags,28.6392436,77.2085787
MOBILE,ONEPLUS MOBILE,LAJPAT NAGAR,19/03/2024,Electronics,28.5660924,77.2432851
PAYAL,SILVER COLOR PAYAL,AIIMS,18/03/2024,Miscellaneous,28.5668602,77.2078058
MOBILE,MOBILE,DELHI AEROCITY,18/03/2024,Electronics,28.5487786,77.1207949
TROLLEY BAG,RED TROLLEY BAG WITH CLOTHS,NEW DELHI (Yellow & Airport Line),18/03/2024,Bags,28.6436415,77.2217373
POLY BAG,WITH OLD BLANKET,DWARKA SECTOR - 21,18/03/2024,Bags,28.5519218,77.0585605
POLY BAG,"WITH HELMET,DUPATTA",RITHALA,18/03/2024,Bags,28.7208064,77.1071813
